iter	Logloss
899	0.05545828864
900	0.05542982216
901	0.05539645365
902	0.0553246795
903	0.05530506125
904	0.05528222505
905	0.05523736123
906	0.05519604036
907	0.05516388299
908	0.05512827861
909	0.05508969421
910	0.05497285902
911	0.05495132893
912	0.05491241173
913	0.05486241478
914	0.05481512377
915	0.0547922504
916	0.0547508357
917	0.05466640339
918	0.05462175299
919	0.05456638591
920	0.05452880185
921	0.05450733461
922	0.05445294666
923	0.05441924239
924	0.05434314428
925	0.05420777448
926	0.05410606942
927	0.05405680151
928	0.05403670685
929	0.05402135469
930	0.05397052499
931	0.05382304385
932	0.05376998858
933	0.0537433494
934	0.05370982817
935	0.05358277152
936	0.05356016378
937	0.05352589115
938	0.053513786
939	0.05342308286
940	0.05333667683
941	0.05328177912
942	0.05324855836
943	0.05321993882
944	0.0531574599
945	0.05306807068
946	0.05301626236
947	0.052996554
948	0.05294235738
949	0.05290828297
950	0.05283918306
951	0.05281164899
952	0.05273250885
953	0.05270820084
954	0.05267812698
955	0.0526239955
956	0.05260576754
957	0.05257031297
958	0.05251560178
959	0.05250117551
960	0.05243048557
961	0.05239298749
962	0.05230238076
963	0.05227980436
964	0.05218969382
965	0.05213311953
966	0.05204515803
967	0.05195408151
968	0.05192288586
969	0.05187998081
970	0.05183372121
971	0.05174884631
972	0.05171821306
973	0.05169286982
974	0.05166007108
975	0.05163814497
976	0.0516094753
977	0.05147029905
978	0.05143474002
979	0.0514230977
980	0.05134017704
981	0.05132805367
982	0.05130715512
983	0.05121146213
984	0.05118612627
985	0.0511398529
986	0.05103350829
987	0.05096899084
988	0.05095031618
989	0.05093557207
990	0.05088452157
991	0.05083773336
992	0.05079020276
993	0.05068843627
994	0.05064240992
995	0.05056353399
996	0.05054696122
997	0.05047620755
998	0.0504476749
999	0.05041342429
